"","Fecha","campaign_id","Cantidad_llamadas"
"822",2020-08-11,10006,56
"823",2020-08-12,10006,36
"824",2020-08-13,10006,66
"825",2020-08-14,10006,37
"826",2020-08-15,10006,10
"827",2020-08-18,10006,46
"828",2020-08-19,10006,48
"829",2020-08-20,10006,56
"830",2020-08-21,10006,56
"831",2020-08-22,10006,5
"832",2020-08-24,10006,42
"833",2020-08-25,10006,51
"834",2020-08-26,10006,33
"835",2020-08-27,10006,31
"836",2020-08-28,10006,3
"837",2019-01-02,10008,29
"838",2019-01-03,10008,17
"839",2019-01-04,10008,4
"840",2019-01-05,10008,4
"841",2019-01-08,10008,36
"842",2019-01-09,10008,29
"843",2019-01-10,10008,39
"844",2019-01-11,10008,35
"845",2019-01-12,10008,3
"846",2019-01-14,10008,40
"847",2019-01-15,10008,22
"848",2019-01-16,10008,32
"849",2019-01-17,10008,26
"850",2019-01-18,10008,19
"851",2019-01-19,10008,1
"852",2019-01-21,10008,25
"853",2019-01-22,10008,36
"854",2019-01-23,10008,23
"855",2019-01-24,10008,31
"856",2019-01-25,10008,20
"857",2019-01-26,10008,2
"858",2019-01-28,10008,37
"859",2019-01-29,10008,45
"860",2019-01-30,10008,35
"861",2019-01-31,10008,22
"862",2019-02-01,10008,24
"863",2019-02-02,10008,4
"864",2019-02-04,10008,40
"865",2019-02-05,10008,22
"866",2019-02-06,10008,31
"867",2019-02-07,10008,37
"868",2019-02-08,10008,17
"869",2019-02-09,10008,5
"870",2019-02-11,10008,29
"871",2019-02-12,10008,19
"872",2019-02-13,10008,30
"873",2019-02-14,10008,24
"874",2019-02-15,10008,21
"875",2019-02-16,10008,3
"876",2019-02-18,10008,25
"877",2019-02-19,10008,17
"878",2019-02-20,10008,15
"879",2019-02-21,10008,20
"880",2019-02-22,10008,21
"881",2019-02-23,10008,5
"882",2019-02-25,10008,22
"883",2019-02-26,10008,15
"884",2019-02-27,10008,51
"885",2019-02-28,10008,20
"886",2019-03-01,10008,17
"887",2019-03-02,10008,2
"888",2019-03-04,10008,30
"889",2019-03-05,10008,23
"890",2019-03-06,10008,26
"891",2019-03-07,10008,15
"892",2019-03-08,10008,10
"893",2019-03-09,10008,2
"894",2019-03-11,10008,16
"895",2019-03-12,10008,16
"896",2019-03-13,10008,9
"897",2019-03-14,10008,14
"898",2019-03-15,10008,12
"899",2019-03-16,10008,3
"900",2019-03-18,10008,32
"901",2019-03-19,10008,13
"902",2019-03-20,10008,31
"903",2019-03-21,10008,27
"904",2019-03-22,10008,35
"905",2019-03-23,10008,2
"906",2019-03-26,10008,38
"907",2019-03-27,10008,32
"908",2019-03-28,10008,23
"909",2019-03-29,10008,16
"910",2019-03-30,10008,3
"911",2019-04-01,10008,43
"912",2019-04-02,10008,26
"913",2019-04-03,10008,26
"914",2019-04-04,10008,24
"915",2019-04-05,10008,18
"916",2019-04-06,10008,6
"917",2019-04-08,10008,33
"918",2019-04-09,10008,23
"919",2019-04-10,10008,22
"920",2019-04-11,10008,21
"921",2019-04-12,10008,24
"922",2019-04-13,10008,4
"923",2019-04-15,10008,30
"924",2019-04-16,10008,27
